Asset Name,Model,Manufacturer,Category,Status,Notes
Large Tripod,501HDV,Manfrotto,Tripod,Ready to Deploy,Tripod with Carrying Case | Preference given to XF605 cams
Lowell Pro 3Light Kit,Pro,Lowell,Lights,Ready to Deploy,Three Light Kit with Case
Lowell Pro 3Light Kit,Pro,Lowell,Lights,Ready to Deploy,Three Light Kit with Case
Lowell Pro 3Light Kit,Pro,Lowell,Lights,Ready to Deploy,Three Light Kit with Case
Lowell Pro 3Light Kit,Pro,Lowell,Lights,Ready to Deploy,Three Light Kit with Case
Lowell Pro 3Light Kit,Pro,Lowell,Lights,Ready to Deploy,Three Light Kit with Case
Lowell Pro 3Light Kit,Pro,Lowell,Lights,Ready to Deploy,Three Light Kit with Case
Lowell Pro 3Light Kit,Pro,Lowell,Lights,Ready to Deploy,Three Light Kit with Case
Zoom #1,H6 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/2 Capsule Mics/1 foam windscreen/SD Card/AA Rechargeable Batteries/Transfer Cable | Preference given to MC 204 students but can be used by advanced classes as well
Zoom #2,H6 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/2 Capsule Mics/1 foam windscreen/SD Card/AA Rechargeable Batteries/Transfer Cable | Preference given to MC 204 students but can be used by advanced classes as well
Zoom #3,H6 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/2 Capsule Mics/1 foam windscreen/SD Card/AA Rechargeable Batteries/Transfer Cable | Preference given to MC 204 students but can be used by advanced classes as well
Zoom #4,H6 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/2 Capsule Mics/1 foam windscreen/SD Card/AA Rechargeable Batteries/Transfer Cable | Preference given to MC 204 students but can be used by advanced classes as well
Zoom #5,H6 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/2 Capsule Mics/1 foam windscreen/SD Card/AA Rechargeable Batteries/Transfer Cable | Preference given to MC 204 students but can be used by advanced classes as well
Zoom #6,H6 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/2 Capsule Mics/1 foam windscreen/SD Card/AA Rechargeable Batteries/Transfer Cable | Preference given to MC 204 students but can be used by advanced classes as well
Zoom #7,H6 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/2 Capsule Mics/1 foam windscreen/SD Card/AA Rechargeable Batteries/Transfer Cable | Preference given to MC 204 students but can be used by advanced classes as well
Zoom #8,H6 Essential,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Fuzzy Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable
Zoom #9,H6 Essential,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Fuzzy Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable
Zoom #10,H6 Essential,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Fuzzy Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable
Zoom #11,H6 Essential,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Fuzzy Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable
Zoom #12,H6 Essential,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Fuzzy Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable
Zoom #13,H5 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Foam Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable
Zoom #14,H5 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Foam Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable
Zoom #15,H5 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Foam Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable
Zoom #16,H5 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Foam Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable
Zoom #17,H5 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Foam Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable
Zoom #18,H5 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Foam Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable
Zoom #19,H5 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Foam Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable
Zoom #20,H5 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Foam Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable
Boom Mics,Boom Mics,Generic,Microphones,Ready to Deploy,
Boom Mics,Boom Mics,Generic,Microphones,Ready to Deploy,
Boom Mics,Boom Mics,Generic,Microphones,Ready to Deploy,
Boom Mics,Boom Mics,Generic,Microphones,Ready to Deploy,
Boom Poles,Boom Poles,Generic,Audio Accessories,Ready to Deploy,
Boom Poles,Boom Poles,Generic,Audio Accessories,Ready to Deploy,
Boom Poles,Boom Poles,Generic,Audio Accessories,Ready to Deploy,
Boom Poles,Boom Poles,Generic,Audio Accessories,Ready to Deploy,
Straight Stand,Straight Stand,Generic,mic stand,Ready to Deploy,
Straight Stand,Straight Stand,Generic,mic stand,Ready to Deploy,
Mic Stand,Mic Stand,Generic,Tabletop Stand,Ready to Deploy,
Shure SM58,SM58,Shure,Stick Mic,Ready to Deploy,
Shure SM57,SM57,Shure,Stick Mic,Ready to Deploy,
Clapboard,Clapboard,Generic,Accessories,Ready to Deploy,
