asset_tag,name,model_name,manufacturer,category,status_label,notes,serial,requestable
TAG-00035,Large Tripod,501HDV,Manfrotto,Tripod,Ready to Deploy,Tripod with Carrying Case | Preference given to XF605 cams,,1
TAG-00036,Large Tripod,501HDV,Manfrotto,Tripod,Ready to Deploy,Tripod with Carrying Case | Preference given to XF605 cams,,1
TAG-00037,Large Tripod,501HDV,Manfrotto,Tripod,Ready to Deploy,Tripod with Carrying Case | Preference given to XF605 cams,,1
TAG-00038,Large Tripod,501HDV,Manfrotto,Tripod,Ready to Deploy,Tripod with Carrying Case | Preference given to XF605 cams,,1
TAG-00039,Large Tripod,501HDV,Manfrotto,Tripod,Ready to Deploy,Tripod with Carrying Case | Preference given to XF605 cams,,1
TAG-00040,Large Tripod,501HDV,Manfrotto,Tripod,Ready to Deploy,Tripod with Carrying Case | Preference given to XF605 cams,,1
TAG-00041,Large Tripod,501HDV,Manfrotto,Tripod,Ready to Deploy,Tripod with Carrying Case | Preference given to XF605 cams,,1
TAG-00042,Lowell Pro 3Light Kit,Pro,Lowell,Lights,Ready to Deploy,Three Light Kit with Case,,1
TAG-00043,Lowell Pro 3Light Kit,Pro,Lowell,Lights,Ready to Deploy,Three Light Kit with Case,,1
TAG-00044,Lowell Pro 3Light Kit,Pro,Lowell,Lights,Ready to Deploy,Three Light Kit with Case,,1
TAG-00045,Lowell Pro 3Light Kit,Pro,Lowell,Lights,Ready to Deploy,Three Light Kit with Case,,1
TAG-00046,Lowell Pro 3Light Kit,Pro,Lowell,Lights,Ready to Deploy,Three Light Kit with Case,,1
TAG-00047,Lowell Pro 3Light Kit,Pro,Lowell,Lights,Ready to Deploy,Three Light Kit with Case,,1
TAG-00048,Lowell Pro 3Light Kit,Pro,Lowell,Lights,Ready to Deploy,Three Light Kit with Case,,1
TAG-00049,Zoom #1,H6 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/2 Capsule Mics/1 foam windscreen/SD Card/AA Rechargeable Batteries/Transfer Cable | Preference given to MC 204 students but can be used by advanced classes as well,,1
TAG-00050,Zoom #2,H6 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/2 Capsule Mics/1 foam windscreen/SD Card/AA Rechargeable Batteries/Transfer Cable | Preference given to MC 204 students but can be used by advanced classes as well,,1
TAG-00051,Zoom #3,H6 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/2 Capsule Mics/1 foam windscreen/SD Card/AA Rechargeable Batteries/Transfer Cable | Preference given to MC 204 students but can be used by advanced classes as well,,1
TAG-00052,Zoom #4,H6 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/2 Capsule Mics/1 foam windscreen/SD Card/AA Rechargeable Batteries/Transfer Cable | Preference given to MC 204 students but can be used by advanced classes as well,,1
